,C_score,Symbol
27,0.0,01551
179,0.22440087146,08079
218,0.233506944444,00698
90,0.258,00508
231,0.28125,01085
286,0.306818181818,00223
195,0.3125,08295
117,0.318783068783,00812
71,0.322845417237,00273
320,0.326,01094
120,0.328125,00901
351,0.336956521739,08086
100,0.337673611111,00628
308,0.340277777778,00802
210,0.357226792009,00303
223,0.362517099863,00877
205,0.363636363636,00143
317,0.363703703704,01059
105,0.37037037037,00718
47,0.370738636364,00033
316,0.371057513915,01039
356,0.376,08129
54,0.376623376623,00109
148,0.377192982456,01577
164,0.379310344828,03963
101,0.383394383394,00665
139,0.385109114249,01319
342,0.39880952381,08029
258,0.401234567901,03777
146,0.401785714286,01543
157,0.403080872914,03360
67,0.404513888889,00231
189,0.405380333952,08207
13,0.408564814815,02628
12,0.412455934195,02601
303,0.416005291005,00696
113,0.418181818182,00770
233,0.418604651163,01155
289,0.419259259259,00268
228,0.420454545455,01050
268,0.422413793103,08113
31,0.424903722721,01988
76,0.427884615385,00335
34,0.428240740741,02356
86,0.43324775353,00412
339,0.434027777778,08008
184,0.434659090909,08123
217,0.436,00618
72,0.436335403727,00279
328,0.439903846154,01588
288,0.440104166667,00250
200,0.440677966102,08439
311,0.440972222222,00862
190,0.442546583851,08212
63,0.442962962963,00204
310,0.443322981366,00861
197,0.44474393531,08340
66,0.451851851852,00227
136,0.452,01227
256,0.452414772727,03336
7,0.452804377565,01339
125,0.454172366621,01004
314,0.454192546584,01013
53,0.45625,00086
24,0.457627118644,01216
206,0.458256029685,00248
128,0.458279845956,01051
35,0.461226851852,02388
110,0.465909090909,00766
224,0.468864468864,00903
318,0.470085470085,01075
36,0.47125,02888
275,0.471358428805,08227
6,0.474282296651,01336
118,0.474378881988,00821
114,0.474576271186,00804
340,0.474576271186,08013
82,0.475694444444,00378
265,0.476363636364,08016
133,0.47790507365,01217
77,0.478213507625,00339
278,0.480113636364,08266
364,0.481481481481,08255
354,0.482954545455,08100
1,0.482954545455,00662
334,0.483050847458,02998
121,0.483703703704,00913
130,0.485157699443,01140
345,0.485175202156,08048
64,0.486521181001,00211
107,0.487577639752,00727
89,0.489130434783,00474
219,0.489234449761,00710
203,0.490180032733,00099
283,0.491379310345,08420
160,0.491525423729,03848
344,0.496894409938,08045
60,0.497545008183,00172
56,0.497607655502,00120
336,0.497737556561,03888
41,0.502392344498,03968
321,0.502840909091,01137
246,0.502840909091,02000
360,0.503105590062,08178
338,0.503710575139,06899
331,0.505434782609,01900
38,0.506462984724,03618
5,0.507428571429,01299
174,0.508,08001
123,0.508680555556,00952
20,0.509316770186,00626
225,0.51037037037,00947
182,0.511982570806,08090
209,0.512820512821,00285
368,0.513888888889,08317
11,0.515625,02378
232,0.515731874145,01087
329,0.5174291939,01708
227,0.518315018315,00992
112,0.519259259259,00768
3,0.519375,00966
359,0.520458265139,08165
185,0.520467836257,08149
305,0.52133580705,00771
58,0.521531100478,00165
285,0.521822849807,00092
175,0.52251552795,08019
172,0.523755656109,06881
149,0.52614379085,01669
65,0.526988636364,00222
180,0.526988636364,08088
93,0.527,00559
74,0.527823240589,00310
270,0.528,08159
62,0.528641571195,00188
9,0.529180695847,02318
188,0.52950310559,08193
92,0.530095759234,00530
221,0.530525030525,00763
302,0.534090909091,00596
266,0.534090909091,08050
177,0.534161490683,08030
75,0.534722222222,00318
237,0.537240537241,01300
44,0.538126361656,06138
330,0.538352272727,01808
319,0.542483660131,01089
127,0.543003851091,01041
186,0.543003851091,08163
151,0.543003851091,01788
327,0.545454545455,01522
19,0.546296296296,00440
176,0.546875,08025
187,0.5475,08190
84,0.547619047619,00388
291,0.548125,00327
299,0.548136645963,00536
273,0.551892551893,08192
248,0.554035567715,02028
10,0.554425837321,02328
306,0.555840821566,00777
348,0.556644880174,08076
181,0.557037037037,08089
355,0.55900621118,08109
129,0.560296846011,01062
95,0.562169312169,00585
81,0.562193126023,00376
137,0.56400742115,01273
17,0.56675224647,00023
247,0.571092831962,02018
239,0.571428571429,01362
352,0.574519230769,08092
102,0.577639751553,00666
122,0.578125,00931
284,0.578659370725,00046
309,0.578703703704,00818
152,0.580027359781,02312
4,0.582222222222,01019
25,0.582671957672,01288
16,0.58375,00011
271,0.585924713584,08167
236,0.588919288646,01282
191,0.590838509317,08215
124,0.590909090909,00993
324,0.593023255814,01236
22,0.593406593407,00998
50,0.593692022263,00064
96,0.59375,00605
279,0.595687331536,08286
158,0.597049689441,03623
362,0.598199672668,08235
272,0.599,08171
106,0.599378881988,00721
287,0.600128369705,00241
99,0.60119047619,00622
350,0.601851851852,08083
322,0.601851851852,01149
183,0.603109656301,08098
126,0.605335157319,01031
263,0.607272727273,06188
2,0.608851674641,00945
307,0.609164420485,00799
85,0.61,00397
88,0.610021786492,00430
216,0.610123119015,00553
30,0.611111111111,01963
241,0.611111111111,01523
142,0.612433862434,01428
297,0.615683229814,00434
276,0.616071428571,08230
349,0.617021276596,08081
358,0.6171875,08148
119,0.6171875,00851
115,0.617224880383,00806
357,0.617897727273,08131
281,0.618055555556,08311
61,0.618990384615,00174
97,0.619259259259,00612
222,0.619565217391,00856
323,0.62,01206
274,0.62091503268,08205
108,0.62356792144,00730
26,0.624338624339,01398
49,0.627329192547,00056
332,0.629658385093,01980
290,0.62987012987,00299
269,0.630718954248,08145
69,0.634943181818,00245
98,0.637422360248,00619
292,0.638755980861,00354
37,0.639281129653,03328
294,0.639433551198,00400
59,0.641509433962,00170
83,0.641848523748,00379
193,0.641929499072,08239
165,0.642344497608,06030
207,0.642857142857,00259
116,0.646481178396,00810
277,0.647321428571,08245
14,0.648423005566,06161
335,0.649595687332,03773
215,0.650192554557,00552
325,0.651397515528,01450
94,0.653027823241,00572
213,0.653708133971,00479
43,0.654970760234,06122
353,0.655266757866,08095
57,0.655266757866,00133
15,0.655699177438,00005
52,0.660392798691,00080
103,0.661211129296,00668
21,0.661574618096,00939
313,0.665071770335,00986
363,0.666666666667,08249
161,0.666666666667,03903
208,0.667272727273,00261
295,0.668323863636,00402
298,0.668650793651,00484
301,0.669034090909,00569
343,0.673,08033
315,0.674,01022
91,0.678107606679,00510
78,0.679012345679,00356
304,0.679375,00700
220,0.68,00732
48,0.680708180708,00053
42,0.681318681319,03988
252,0.683568677792,02308
251,0.683636363636,02239
234,0.6853625171,01202
68,0.686507936508,00235
159,0.687272727273,03678
155,0.687363834423,02799
333,0.688311688312,02280
242,0.689345314506,01613
204,0.690972222222,00110
169,0.69220246238,06837
249,0.693570451436,02038
73,0.694805194805,00290
51,0.695906432749,00068
80,0.697047496791,00373
111,0.698412698413,00767
173,0.699652777778,06886
341,0.699652777778,08018
153,0.699735449735,02324
300,0.700284090909,00543
109,0.700310559006,00764
28,0.703504043127,01578
131,0.70652173913,01141
280,0.707792207792,08301
254,0.712722298222,02369
244,0.712962962963,01979
312,0.714090287278,00885
138,0.716346153846,01290
140,0.71875,01359
134,0.72,01225
104,0.723562152134,00717
264,0.725,06869
267,0.727163461538,08051
253,0.731190150479,02342
145,0.732026143791,01469
235,0.732142857143,01263
261,0.734501347709,06133
293,0.735795454545,00395
212,0.740740740741,00465
141,0.741407528642,01375
55,0.743502051984,00111
262,0.743827160494,06168
154,0.748538011696,02611
372,0.748538011696,08345
337,0.750544662309,03969
166,0.752727272727,06066
23,0.754658385093,01111
39,0.756,03698
135,0.757,01226
326,0.762019230769,01460
229,0.764705882353,01063
361,0.771929824561,08229
230,0.772727272727,01079
143,0.773420479303,01456
240,0.773654916512,01478
29,0.774038461538,01658
296,0.776041666667,00418
255,0.777365491651,03315
144,0.777777777778,01461
167,0.779220779221,06099
70,0.786415711948,00263
214,0.786549707602,00529
79,0.787326388889,00372
45,0.788580246914,06196
373,0.788671023965,08355
367,0.789090909091,08290
370,0.791280148423,08325
162,0.794,03908
346,0.794074074074,08060
87,0.795673076923,00428
192,0.796296296296,08221
250,0.798701298701,02086
171,0.8125,06878
46,0.813492063492,06818
199,0.814814814815,08407
238,0.815363881402,01357
33,0.818576388889,02066
147,0.819711538462,01572
32,0.825617283951,02016
366,0.827160493827,08282
178,0.835579514825,08077
170,0.836734693878,06866
168,0.840144230769,06178
365,0.843137254902,08267
132,0.843665768194,01160
40,0.84375,03866
257,0.846011131725,03638
196,0.848214285714,08333
18,0.848557692308,00416
371,0.848765432099,08342
259,0.853,03882
369,0.856363636364,08319
374,0.866071428571,08359
163,0.867924528302,03958
8,0.870192307692,01508
375,0.877358490566,08361
211,0.891975308642,00334
150,0.895962732919,01776
245,0.909090909091,01985
243,0.91049382716,01617
226,0.92,00948
194,0.930909090909,08252
201,0.931034482759,08452
347,0.932098765432,08062
198,0.956896551724,08365
282,0.965517241379,08410
156,0.965517241379,03329
202,0.982456140351,08469
260,0.98275862069,06088
